Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Gm13309,0.496403143,-0.773210647,4.038645207,-0.191452977,0.848170718,NA
Gm29719,0.496403143,-0.773210647,4.038645207,-0.191452977,0.848170718,NA
Gm41909,0.496403143,-0.773210647,4.038645207,-0.191452977,0.848170718,NA
n-TKctt14,0.496403143,-0.773210647,4.038645207,-0.191452977,0.848170718,NA
Olfr688,0.496403143,-0.773210647,4.038645207,-0.191452977,0.848170718,NA
Bcl2a1a,8.976653956,-0.773004979,1.020452337,-0.757512087,0.448743127,0.999842552
Hnrnpa3,3399.957299,-0.772654647,1.182549839,-0.653380197,0.513511202,0.999842552
C1qtnf3,2.001518988,-0.772614379,2.741681799,-0.281803081,0.778094508,0.999842552
Gm31036,2.001518988,-0.772614379,2.741681799,-0.281803081,0.778094508,0.999842552
Gm46738,270.4462649,-0.772415168,0.902555272,-0.855809269,0.392103287,0.999842552
Myt1,24.71634992,-0.772070424,0.867659326,-0.889831298,0.373556478,0.999842552
Ndufaf3,1056.008092,-0.77140025,0.482216907,-1.599695571,0.109666135,0.999842552
Gm20604,580.5991602,-0.770999559,1.126173909,-0.684618559,0.493584653,0.999842552
Hey1,562.0071403,-0.770558152,0.527311005,-1.461297306,0.143933869,0.999842552
Kcnj11,8.255542021,-0.769157708,1.453118841,-0.529315075,0.5965869,0.999842552
Snord14a,38.943676,-0.768765679,0.463535621,-1.658482421,0.097220133,0.999842552
Gm17748,215.9428324,-0.768571,0.83652038,-0.9187714,0.358215155,0.999842552
Sigirr,25.81651012,-0.768238105,0.677263711,-1.134326397,0.256657661,0.999842552
Ddx39,6494.133372,-0.768041577,0.518463799,-1.481379373,0.138505508,0.999842552
Gm14486,58.53888638,-0.767858845,0.616534579,-1.245443274,0.212968855,0.999842552
Trav13-3,4.962852185,-0.767730182,1.482935405,-0.517709793,0.604660764,0.999842552
Fmnl2,605.9721178,-0.767457795,1.137776076,-0.674524462,0.499977939,0.999842552
Nat8f5,10.77782945,-0.767186635,1.348988482,-0.568712517,0.569551252,0.999842552
Camkv,16.50087241,-0.766558668,0.801962973,-0.955852943,0.339146536,0.999842552
Vgll4,902.5265702,-0.766503423,0.936446753,-0.818523232,0.413058482,0.999842552
AI839979,3.004442292,-0.766458983,3.790087731,-0.20222724,0.839739078,0.999842552
Swap70,631.5772965,-0.765924393,1.864797523,-0.410727912,0.681272058,0.999842552
9130008F23Rik,1186.786515,-0.764630526,0.331685004,-2.305291216,0.021150269,0.999842552
Dppa3-ps,105.3514629,-0.764508265,0.8163714,-0.936471151,0.34903066,0.999842552
Rab25,18.90520349,-0.764186675,0.756113627,-1.01067703,0.312171034,0.999842552
Wnt11,1342.681527,-0.764158585,0.461382065,-1.656238163,0.097673598,0.999842552
Fsbp,40.61313563,-0.764110762,2.368166924,-0.322659165,NA,NA
Rnase12,7.151589599,-0.763873084,1.393699078,-0.548090399,0.583629833,0.999842552
Gm46613,3.877833973,-0.763233906,2.759770895,-0.276556981,0.782120301,0.999842552
Gm11945,39.97609859,-0.762963544,0.695345246,-1.097244208,0.272534653,0.999842552
H2c8,194.0564898,-0.762730658,0.953307391,-0.800088896,0.423659294,0.999842552
Gm8264,39.48253045,-0.762720963,0.502622468,-1.517482825,0.129144827,0.999842552
Csn1s2b,1.723901432,-0.762217054,3.837390669,-0.198628995,0.84255297,NA
Gm42253,1.723901432,-0.762217054,3.837390669,-0.198628995,0.84255297,NA
Noxa1,1.723901432,-0.762217054,3.837390669,-0.198628995,0.84255297,NA
St8sia1,24.92026861,-0.761881517,0.800690627,-0.951530455,0.341335166,0.999842552
Adcyap1,2487.083102,-0.761689396,0.981297982,-0.776206014,0.437627356,0.999842552
Sirt6,1005.932053,-0.761667037,0.631740509,-1.205664394,0.227946919,0.999842552
Gm42337,23.36236221,-0.76129507,0.743209061,-1.024335022,0.305677061,0.999842552
Gm4981,21.34185815,-0.761144258,0.565807067,-1.345236393,0.178548907,0.999842552
Aspm,8.002067211,-0.760883776,2.341336349,-0.324978415,0.745197408,0.999842552
Stx6,99.54645577,-0.760096586,0.927110999,-0.819854998,0.412298774,0.999842552
Aurkaip1,3287.847064,-0.760088956,0.91806914,-0.827921257,0.407715096,0.999842552
Mettl14,19.73133764,-0.75994853,1.625755891,-0.467443196,0.640182824,0.999842552
Gm4929,14.20219836,-0.75988202,0.776345434,-0.9787937,0.327681923,0.999842552
Zfas1,3721.295344,-0.759824088,0.62712085,-1.211607121,0.225662807,0.999842552
Gm36210,12.56553516,-0.759773631,1.415764173,-0.536652675,0.591507551,0.999842552
Fgf2os,20.08255829,-0.759688257,0.678387714,-1.119843773,0.262780342,0.999842552
Nudc-ps1,2098.406959,-0.759570017,1.293840979,-0.587065976,NA,NA
A530046M15Rik,13.50168935,-0.758894479,1.334623142,-0.5686208,0.569613506,0.999842552
4930474N09Rik,1.725897768,-0.758675115,2.729971124,-0.277905912,0.781084586,NA
Gm38760,1.725897768,-0.758675115,2.729971124,-0.277905912,0.781084586,NA
Hba-a1,100793.6747,-0.758548242,1.072830561,-0.707053163,0.479533441,0.999842552
Cdpf1,257.3489025,-0.758502577,1.611452318,-0.470695017,0.637858543,0.999842552
Mycbp2,533.5373529,-0.758442347,1.124059237,-0.674735211,0.499844009,0.999842552
Ager,106.149065,-0.758373762,0.839389733,-0.903482294,0.366269981,0.999842552
4931440P22Rik,332.3252911,-0.757584363,0.380356361,-1.991775187,0.04639573,0.999842552
Gm36862,74.4675038,-0.757405993,0.574084423,-1.319328592,0.187059283,0.999842552
Hs3st6,16.96596263,-0.756536684,1.397430641,-0.541376912,0.588247818,0.999842552
Gm10433,9.999214664,-0.756500134,2.034604401,-0.371816818,0.710029241,0.999842552
Gm32711,2.239761653,-0.756492721,1.356778938,-0.557565201,0.577141325,0.999842552
H2bc6,118.8197457,-0.756325704,0.421690959,-1.793554468,0.072884309,0.999842552
Kif22,3116.826337,-0.75631449,0.768768811,-0.983799654,0.32521403,0.999842552
Enho,51.91069715,-0.756045368,0.678499428,-1.114290354,0.265154644,0.999842552
Cfap100,41.12403095,-0.756028153,0.5932567,-1.274369346,0.202532551,0.999842552
Gm4151,5.929818578,-0.755969439,2.850803982,-0.265177628,0.790872628,0.999842552
Gm23952,0.992806286,-0.755730767,3.918967258,-0.192839265,0.847084851,NA
Spin2c,1735.128554,-0.755418708,0.343916721,-2.196516369,0.028055005,0.999842552
Cdh18,5.783364042,-0.755244973,2.874766952,-0.262715199,0.792770101,0.999842552
Sh2d6,14.3618544,-0.754725987,1.315702229,-0.573629785,0.566218352,0.999842552
Gabrr1,7.473899442,-0.754556382,2.064466187,-0.365497089,0.714740379,0.999842552
Eea1,997.2641253,-0.754512189,1.173207974,-0.643118872,0.52014697,0.999842552
Tmem265,66.10595102,-0.754396601,1.736685218,-0.434388796,0.664006132,0.999842552
Gpank1,435.7478734,-0.754383855,0.681768042,-1.106511025,0.268505395,0.999842552
Pappa,640.9082746,-0.7543181,1.723938012,-0.437555234,0.661708728,0.999842552
Gm10584,71.61087566,-0.754268456,0.485124076,-1.554794933,0.119994916,0.999842552
1810062O18Rik,7.117812567,-0.754005329,1.371400964,-0.54980662,0.582452017,0.999842552
Rac3,53.14386367,-0.753676701,1.361099146,-0.553726525,0.579766019,0.999842552
Gm36102,2.149788464,-0.753573648,3.815435503,-0.197506588,0.843431127,0.999842552
Il22,2.149788464,-0.753573648,3.815435503,-0.197506588,0.843431127,0.999842552
Gm12722,17.36511536,-0.753475086,0.617973563,-1.219267507,0.222742677,0.999842552
Cenps,369.5128586,-0.753308406,0.764334769,-0.985573908,0.324342247,0.999842552
Dap,4221.331762,-0.753218049,0.975083226,-0.772465395,0.439838835,0.999842552
Fcgr4,23.56541733,-0.753207511,0.765634608,-0.983768894,0.325229157,0.999842552
Gm9028,17.74525268,-0.752999079,1.481703708,-0.508198147,0.61131439,0.999842552
Smarcal1,510.8039444,-0.752535787,0.668791768,-1.125216881,0.260497141,0.999842552
Gml2,6.855871822,-0.752334144,2.859993956,-0.263054453,0.792508609,0.999842552
Gm4981,19.34711034,-0.752310034,0.604215333,-1.24510252,0.213094068,0.999842552
AU021063,7.352554734,-0.752093032,0.89431892,-0.840967372,0.400366213,0.999842552
Fam89b,921.0869052,-0.752040975,0.522812637,-1.438452176,0.150305798,0.999842552
Gm9658,10.62992677,-0.751599847,0.766329057,-0.980779523,0.326701478,0.999842552
H2-Q4,147.0876401,-0.750928894,1.786236582,-0.420397221,NA,NA
B430010I23Rik,1.295866659,-0.750760848,2.794407456,-0.26866549,0.788187111,NA
Sec14l4,10.86741378,-0.750373617,2.093168287,-0.358486999,0.719978896,0.999842552
Marco,77.07337321,-0.75031108,1.25555002,-0.59759553,NA,NA
Ccnb1ip1,4.379145066,-0.750028888,1.975714101,-0.379624202,0.704224393,0.999842552
Lgals8,196.7322195,-0.749748139,1.367050813,-0.548442042,0.583388415,0.999842552
Gm7513,7.658218086,-0.749153816,0.930776753,-0.804869496,0.420894993,0.999842552
Gm13165,0.98287281,-0.749108582,2.93103836,-0.255577884,0.798276797,NA
2900041M22Rik,3.501880575,-0.748666081,3.780719474,-0.198022119,0.843027758,0.999842552
Mir194-1,2.793747804,-0.74829452,1.386152932,-0.53983547,0.589310503,0.999842552
Gm17821,7.315373644,-0.747970841,0.789928623,-0.946884084,0.343697849,0.999842552
Gm35857,300.4384336,-0.747651952,0.499600441,-1.496499784,0.134523464,0.999842552
Omp,43.28586826,-0.747497929,0.597444038,-1.251159743,0.210876202,0.999842552
Ccrl2,487.9011059,-0.746832253,0.710144971,-1.051661679,0.292954798,0.999842552
Morc2a,441.2595258,-0.746708742,1.141563515,-0.654110553,0.513040583,0.999842552
Gm40527,6.554640046,-0.746656879,2.772552241,-0.269303088,0.787696456,0.999842552
Ms4a10,16.31221054,-0.746359311,0.939195378,-0.794679497,0.426799962,0.999842552
Cpvl,20.01117359,-0.746226691,0.58232985,-1.281450179,0.200035589,0.999842552
Gm30149,4.826240538,-0.746006699,1.597886202,-0.466870981,0.640592188,0.999842552
Wscd1,39.58442638,-0.745706977,0.738979965,-1.009103103,0.31292519,0.999842552
Gm5614,12.45025085,-0.745437329,1.086494257,-0.686094127,0.492653754,0.999842552
Npy,2183.987385,-0.744860753,1.348232763,-0.552471928,0.580625063,0.999842552
Khdc1c,626.4028341,-0.74466797,0.609494938,-1.221778761,0.221791303,0.999842552
Gm38460,1.477295685,-0.743758551,2.792715185,-0.266320946,0.789992043,NA
Rhox8,51128.94297,-0.743230994,1.060592445,-0.700769648,0.483446783,0.999842552
Gm8444,52.36240235,-0.743104585,1.076956103,-0.690004526,0.490191341,0.999842552
Gm32210,19.41321294,-0.742797373,1.621141364,-0.458194078,0.646813014,0.999842552
Park7,3352.924585,-0.74267426,1.109849482,-0.66916665,0.503389178,0.999842552
Med8,3460.486394,-0.742578107,0.41925369,-1.77119039,0.076529047,0.999842552
Hdac8,164.0152254,-0.742244283,0.74477793,-0.996598118,0.31895962,0.999842552
Ankrd1,20.14877697,-0.741471814,1.11954387,-0.662298132,0.507780174,0.999842552
Aopep,1488.833244,-0.74039556,0.765036694,-0.967790913,0.333148803,0.999842552
Bhmt-ps1,10.5438933,-0.740075664,0.930248308,-0.79556787,0.426283248,0.999842552
Phkg1,27.20361606,-0.739812827,0.583812861,-1.267208856,0.20508062,0.999842552
Gm29721,22.34898352,-0.738801145,0.54773502,-1.348829485,0.177391742,0.999842552
Gm9335,3.01736188,-0.73878295,1.558529796,-0.474025554,0.635481685,0.999842552
Muc4,19.49897616,-0.738428776,1.36104336,-0.542546107,0.587442354,0.999842552
Gm12628,7.146856209,-0.737913105,0.761296559,-0.969284699,0.332403162,0.999842552
Gm34451,30.35853983,-0.737436763,0.693597886,-1.063205033,0.287688981,0.999842552
Snord93,0.486469667,-0.737249232,3.150702445,-0.233995195,0.814988709,NA
Gm6046,43.78693248,-0.737112497,0.767278033,-0.960685,0.336710575,0.999842552
Usp9y,0.459831537,-0.736968234,3.186334939,-0.231290259,0.817089314,NA
H3c4,124.5259459,-0.736656259,0.797442212,-0.923773845,0.355604075,0.999842552
Gm46751,3.957514674,-0.73636679,3.774222515,-0.195104233,0.845311349,0.999842552
Rft1,934.4521047,-0.735662897,0.633315436,-1.16160582,0.245395617,0.999842552
Gm2663,124.9651478,-0.735215122,0.479568796,-1.533075397,0.125257279,0.999842552
1700048M11Rik,7.606341532,-0.734853567,1.077026028,-0.682298801,0.495050031,0.999842552
Mir7063,4.28305303,-0.734687038,1.399491572,-0.524967105,0.599606059,0.999842552
Tcp10b,10.70657853,-0.734460153,1.569597777,-0.467928895,0.639835439,0.999842552
Unc45b,55.51853457,-0.734457539,0.63339689,-1.159553434,0.246230669,0.999842552
Gm9109,15.22311741,-0.734260546,0.961320718,-0.763803934,0.444984092,0.999842552
Syt11,3098.687731,-0.733972186,0.437731739,-1.676762548,0.093588924,0.999842552
Gm10639,850.4022936,-0.733875781,0.511950336,-1.433490183,0.151717802,0.999842552
Hmgcl,904.6625396,-0.732783286,0.747867877,-0.979829872,0.327170104,0.999842552
Gm39920,1.738104077,-0.732749228,3.835940484,-0.191022053,0.848508315,NA
Prrxl1,1.738104077,-0.732749228,3.835940484,-0.191022053,0.848508315,NA
Trim43a,1.736549753,-0.732201766,2.057326432,-0.355899654,0.721915715,NA
Cars,3395.240536,-0.731432024,0.717477642,-1.019449222,0.307989748,0.999842552
Gm40864,2.124132113,-0.730822781,2.770831787,-0.263755737,0.791968144,0.999842552
Eef1akmt3,16.73076936,-0.730647574,0.867420601,-0.842322137,0.399607663,0.999842552
Zbed4,331.0246857,-0.730307961,1.22259576,-0.597342135,0.550278979,0.999842552
Oas2,28.80371056,-0.729945117,1.454857777,-0.501729536,0.615857785,0.999842552
Gm12925,9.734772808,-0.72981063,1.085653943,-0.672231364,0.501436417,0.999842552
Cyp2c29,6.368052652,-0.729639211,2.797950487,-0.260776313,0.794265012,0.999842552
Gm12096,15.80832848,-0.729254674,1.41792094,-0.514312649,0.60703342,0.999842552
Tssc4,2545.777835,-0.729137658,0.770782561,-0.945970621,0.344163571,0.999842552
4930579K19Rik,38.02041822,-0.729035784,0.817431857,-0.891861234,0.372467316,0.999842552
Gm30915,10.32212019,-0.728610132,1.379362663,-0.52822231,0.597345046,0.999842552
H3c10,97.36672487,-0.727864292,0.787082156,-0.924762791,0.355089309,0.999842552
1600002D24Rik,7.090284275,-0.727851671,1.038147719,-0.701106074,0.48323682,0.999842552
Gm8317,215.394295,-0.727364326,1.172322917,-0.620447076,0.534963487,0.999842552
Nppa,8.57546949,-0.727236368,2.149530573,-0.338323342,0.735119535,0.999842552
Snrnp25,3805.154393,-0.727212978,0.848096428,-0.85746497,0.391187966,0.999842552
Gm4705,401.5026747,-0.726771899,0.692016641,-1.050223155,0.293615526,0.999842552
Gm9212,4.703099802,-0.726341056,1.411451818,-0.514605633,0.606828628,0.999842552
AY702103,60.31751809,-0.725813174,0.892534336,-0.813204764,0.416100669,0.999842552
Gm10154,645.5981901,-0.725728817,0.62905803,-1.153675468,0.248633245,0.999842552
Unc45b,52.49938879,-0.725434972,0.650300718,-1.115537707,0.264620069,0.999842552
Gm27188,4.243936608,-0.72505988,2.789324834,-0.259940998,0.794909286,0.999842552
Gm11624,5.353947627,-0.724973609,1.988158618,-0.364645759,0.715375852,0.999842552
Prdx5,12092.57945,-0.724890442,0.614669852,-1.179316733,0.238272078,0.999842552
Gm5746,2.70775122,-0.724497621,2.193491598,-0.330294231,0.741177652,0.999842552
Cdnf,14.14263207,-0.724165463,0.862979253,-0.839145855,0.401387467,0.999842552
Gm42306,6.119831577,-0.723847251,2.075912582,-0.348688696,0.727323032,0.999842552
Dok1,1217.041453,-0.723284999,0.990834722,-0.729975426,0.465405206,0.999842552
E430018J23Rik,489.9030189,-0.723053192,1.128429841,-0.640760432,0.521678345,0.999842552
Klc1,4756.704654,-0.722878965,0.492212443,-1.468632043,0.141932619,0.999842552
Best3,5.408802994,-0.722687103,2.782115859,-0.259761685,0.795047608,0.999842552
H2-K2,12.02049036,-0.722381872,1.324831176,-0.54526334,0.585572414,0.999842552
1600014C23Rik,7.92430699,-0.722380691,1.704184341,-0.423886474,0.671648609,0.999842552
Gm7299,58.42735199,-0.722356183,0.579963835,-1.245519357,0.212940905,0.999842552
Gpx4-ps1,23.08873686,-0.722140928,0.573199347,-1.259842553,0.207726166,0.999842552
Tcstv3,33.16160507,-0.720785085,1.261637797,-0.571309045,0.567790171,0.999842552
Pirb,35.23836733,-0.720644058,0.514202744,-1.401478436,0.161071052,0.999842552
Wdr27,28.69609466,-0.720399146,1.035313673,-0.695826941,0.486537215,0.999842552
Gm34602,7.585229588,-0.720295837,2.067214712,-0.348437844,0.727511386,0.999842552
Gm18994,1.953831876,-0.720231675,2.793527842,-0.257821549,0.796544633,NA
Sp3os,123.8706168,-0.720073604,1.028284248,-0.700267076,0.483760529,0.999842552
Gemin5,731.4550877,-0.719801823,0.880610457,-0.817389592,0.413705821,0.999842552
Omt2b,1128.327337,-0.719700693,0.673490023,-1.068613742,0.285243754,0.999842552
Eny2,2324.176118,-0.719674162,0.64055555,-1.123515615,0.261218573,0.999842552
Gm7041,1.459409001,-0.71924704,2.761619713,-0.260443911,0.794521375,NA
Mir23b,1.459409001,-0.71924704,2.761619713,-0.260443911,0.794521375,NA
Mir7012,1.459409001,-0.71924704,2.761619713,-0.260443911,0.794521375,NA
Mir7682,1.459409001,-0.71924704,2.761619713,-0.260443911,0.794521375,NA
Gm5911,7.372575645,-0.719036662,1.004178552,-0.716044632,0.47396379,0.999842552
Haus8,2255.430905,-0.718773064,0.797651533,-0.901111618,0.367528976,0.999842552
Gm36331,10.22262863,-0.718720201,1.111061044,-0.646877329,0.51771134,0.999842552
Tceal3,290.2637225,-0.718641514,0.563748655,-1.274755173,0.202395912,0.999842552
Gm16973,348.1622114,-0.71827811,0.980286838,-0.732722385,0.463727768,0.999842552
Gm32139,18.40261229,-0.718189541,1.440609154,-0.498531846,0.618109229,0.999842552
Gm2059,6.04536746,-0.717998988,2.780869909,-0.258192225,0.796258558,0.999842552
Gm11575,27.09937312,-0.717832048,0.537282207,-1.336042845,0.18153527,0.999842552
4930515G01Rik,16.7088495,-0.717510379,0.922862483,-0.777483528,0.436873549,0.999842552
Gm30738,3.612322184,-0.717398515,1.103492152,-0.650116554,0.515616937,0.999842552
Agap2,34.12661225,-0.717187507,0.792335563,-0.905156275,0.365382603,0.999842552
Fer1l4,80.44861949,-0.716999828,0.88013015,-0.814652047,0.41527151,0.999842552
Gm35280,4.73234091,-0.716654134,1.454794587,-0.492615343,0.622284405,0.999842552
Apoc2,15.75429195,-0.716378531,0.912463462,-0.7851038,0.432392712,0.999842552
Actn2,3.809474086,-0.716158375,2.892602401,-0.247582722,0.804457281,0.999842552
Insc,6.746603587,-0.715804519,2.761630981,-0.259196295,0.795483789,0.999842552
Acpp,42.6639046,-0.715597451,1.257391855,-0.569112523,0.56927978,0.999842552
Rhox5,794.1226499,-0.715533915,0.565377504,-1.265586107,0.205661303,0.999842552
Rnu1b6,1.719089011,-0.715215641,1.588656025,-0.450201699,0.652565011,NA
Gm46496,28.09500328,-0.714979703,0.645376189,-1.107849524,0.267926808,0.999842552
Ehf,107.2470527,-0.714715158,1.143337868,-0.625112819,0.531897015,0.999842552
Gm14450,47.51568919,-0.714451883,0.5930606,-1.204686136,0.22832449,0.999842552
Gm8814,3.867599647,-0.714026975,1.518973614,-0.470072007,0.638303573,0.999842552
Mrpl21,2312.82889,-0.713959015,0.625442317,-1.141526558,0.253650867,0.999842552
Srebf1,8825.159719,-0.713747707,0.961724818,-0.742153778,0.45799417,0.999842552
H3c6,139.2800773,-0.713712891,0.640782634,-1.113814347,0.265358841,0.999842552
Myh14,321.4334418,-0.71323241,0.679023274,-1.050379916,0.293543476,0.999842552
Zranb1,3385.338542,-0.712808363,1.293922415,-0.55088957,0.581709378,0.999842552
Ndufaf5,884.9474873,-0.712556592,0.398856037,-1.786500708,0.074018223,0.999842552
Gm4832,24.23284062,-0.711417628,0.997212157,-0.713406493,0.475594257,0.999842552
Jakmip1,112.6177752,-0.71136601,0.369411228,-1.925675117,0.054144953,0.999842552
Gm3191,21.56264696,-0.71130226,0.828938402,-0.858088199,0.390843763,0.999842552
Alas2,1402.61668,-0.711085808,0.624424436,-1.138786004,0.254792421,0.999842552
Mdm4,2929.423288,-0.710087049,0.962474072,-0.737772652,0.460652615,0.999842552
Gm15636,38.37428293,-0.709983834,0.485057285,-1.463711311,0.143272844,0.999842552
Itgb3bp,83.54667231,-0.709761973,0.925651104,-0.766770514,0.443217971,0.999842552
Nme1,11047.71617,-0.709664067,0.806199609,-0.880258511,0.378719283,0.999842552
Tmem271,25.90986599,-0.709519067,0.965094406,-0.735180996,0.462229271,0.999842552
Pgpep1l,16.85461515,-0.709335923,0.830830871,-0.853766932,0.39323414,0.999842552
Chil1,7.234505471,-0.708675925,2.001570543,-0.354059929,0.723293971,0.999842552
1700084E18Rik,24.65986987,-0.708541112,0.512967868,-1.381258275,0.167199563,0.999842552
Gm28783,4.6280934,-0.708256068,3.766901431,-0.188020866,0.850860294,0.999842552
P3h1,11615.61817,-0.70774083,0.534014607,-1.325321107,0.185064671,0.999842552
2510003B16Rik,34.40077943,-0.707121147,1.0193413,-0.69370401,0.487867851,0.999842552
Nr2c2ap,76.23493004,-0.707119835,0.85746002,-0.824667995,0.409560107,0.999842552
Cdh15,37.38617332,-0.707060749,0.912507572,-0.774854666,0.438425543,0.999842552
Gm44968,9.118018273,-0.706872685,1.506533464,-0.469204769,0.638923277,0.999842552
Gm35386,10.92178041,-0.706724337,0.821008612,-0.860800151,0.389348122,0.999842552
Gm9282,4.699415763,-0.706666954,1.248262215,-0.5661206,0.5713118,0.999842552
Gm44502,388.2030156,-0.706587042,0.842877689,-0.838303175,0.401860453,0.999842552
Slc4a7,758.4226212,-0.706155645,1.547793084,-0.456233881,0.648221804,0.999842552
Gm7748,19.00366359,-0.706133573,0.748637095,-0.943225465,0.345565591,0.999842552
H1f1,61.73136106,-0.706030865,1.064175666,-0.663453307,0.507040275,0.999842552
Gm46561,13.80451416,-0.705956887,1.598279043,-0.441698144,0.658707653,0.999842552
Gm6333,2.994662775,-0.705940036,1.310757939,-0.538573916,0.59018089,0.999842552
Lrriq4,2.918818002,-0.705510365,2.723547302,-0.259040981,0.795603621,0.999842552
Ano8,201.3978446,-0.705373211,0.56206783,-1.25496101,0.209492914,0.999842552
Il22ra1,58.00800721,-0.705329872,0.727394529,-0.969666177,0.332212915,0.999842552
Cdh8,6.350733073,-0.705239027,1.763314535,-0.399950782,0.689192768,0.999842552
Mier2,1276.773637,-0.705192475,1.002762665,-0.703249632,0.481900194,0.999842552
Gpha2,21.9379691,-0.705174706,0.858154984,-0.821733509,0.411228584,0.999842552
Rpl7a-ps14,3.459695096,-0.705045982,1.173627469,-0.600740866,0.548012596,0.999842552
Gm12344,45.41032909,-0.705035023,0.679119742,-1.038160105,0.299195523,0.999842552
Gm12969,6.839598111,-0.704582042,1.426571831,-0.493898748,0.621377689,0.999842552
Gm36448,16.97779454,-0.704238346,2.161891623,-0.325750994,0.744612759,0.999842552
Rpl10a,13643.08777,-0.704052995,0.842466724,-0.835704218,0.403321322,0.999842552
Ccdc150,8.934326443,-0.703964505,2.015882933,-0.349209021,0.726932394,0.999842552
AU040320,535.5719741,-0.703782354,1.459987426,-0.48204686,0.629772658,0.999842552
Lsr,143.673559,-0.70364136,0.829792601,-0.847972565,0.39645325,0.999842552
Trp53bp2,1732.930794,-0.703364606,0.44109673,-1.594581319,0.110805893,0.999842552
Dkk2,15.82161605,-0.703346385,1.820275665,-0.386395533,0.699203758,0.999842552
Timm17b,4668.866014,-0.703035959,0.870173858,-0.807925856,0.419133266,0.999842552
Tmprss6,90.27823924,-0.702829904,0.676434357,-1.039021594,0.298794694,0.999842552
Gm19015,1.292608563,-0.702532744,2.79582535,-0.251279195,0.801598259,NA
Spata24,696.1678577,-0.701746096,0.65254846,-1.075393078,0.28219878,0.999842552
Gm2102,1331.285789,-0.700783264,1.912851364,-0.366355315,0.714099959,0.999842552
Bglap,11.21641995,-0.700672302,1.56563296,-0.447532928,0.654490319,0.999842552
Gm8492,5.320053287,-0.700565755,1.132500607,-0.618600776,0.53617939,0.999842552
Gm12892,27.83347475,-0.700477748,0.749527005,-0.934559721,0.350015245,0.999842552
Fam83e,56.52183095,-0.700270203,0.533529964,-1.312522727,0.189343823,0.999842552
Znrd1,407.9024115,-0.700006046,0.678164629,-1.032206659,0.301975316,0.999842552
Padi1,7.257593637,-0.699867168,2.169493615,-0.322594712,0.747002199,0.999842552
Arhgap39,513.835738,-0.699771775,1.383351542,-0.505852456,0.612960231,0.999842552
Gm6306,4.215498966,-0.699598673,1.493313736,-0.468487403,0.639436078,0.999842552
Gm6261,10.3327053,-0.699491449,0.835392995,-0.837320224,0.402412594,0.999842552
Gm11237,2.111366484,-0.699213147,2.818358338,-0.248092351,0.804062953,0.999842552
Egln3,2480.714449,-0.697646936,0.496061076,-1.406373066,0.159613374,0.999842552
Pot1a,693.6029105,-0.697645644,0.990744711,-0.704162876,0.481331348,0.999842552
Krt1,29.44085506,-0.6973059,0.917545242,-0.759968956,0.447273142,0.999842552
Cep89,992.9498509,-0.69726245,0.959498974,-0.726694315,0.467413237,0.999842552
Gm41610,3.316884874,-0.697225617,1.698334442,-0.410534933,0.681413583,0.999842552
Rimbp2,21.44091102,-0.696943966,1.522612002,-0.457729195,0.64714701,0.999842552
Gm38293,14.61089226,-0.696672538,0.594480936,-1.171900555,0.241236984,0.999842552
BC051142,3.256469713,-0.696237954,2.012829172,-0.345900171,0.729417741,0.999842552
Mir7040,2.703611943,-0.696215708,1.957492806,-0.355667058,0.722089918,0.999842552
AW822252,6.45495977,-0.69612397,2.012065635,-0.345974782,0.729361667,0.999842552
Znrd1,407.5218457,-0.695786625,0.677210865,-1.027429801,0.304218125,0.999842552
Arfgap2,7604.477653,-0.695781871,0.374059497,-1.860083428,0.062873723,0.999842552
Sox5os4,1.674234052,-0.695057303,2.76111708,-0.251730471,0.801249403,NA
Gm39340,3.762409255,-0.694919122,3.776310038,-0.184020675,0.853997236,0.999842552
Trpm6,43.76918976,-0.694907383,0.909166347,-0.764334695,0.444667815,0.999842552
Gm14044,2011.537447,-0.694694467,0.929629891,-0.74728069,0.454894146,0.999842552
4930539J05Rik,8.232132231,-0.694234199,1.654999934,-0.419476874,0.674867652,0.999842552
Rpl31-ps10,98.01678548,-0.694164413,0.749868503,-0.925714855,0.354594186,0.999842552
1700012D14Rik,13.2085599,-0.694132008,1.485751988,-0.46719238,0.640362245,0.999842552
Snord33,315.5545026,-0.693958831,0.692186855,-1.002559968,0.316073219,0.999842552
Hba-a2,75886.44825,-0.693940454,1.073557748,-0.646393224,0.518024728,0.999842552
Cyp4f37,16.61827968,-0.693742915,0.613292801,-1.131177333,0.257980461,0.999842552
Gm33219,2.508272836,-0.69365858,3.80167261,-0.182461419,0.855220629,0.999842552
Pde6g,2.508272836,-0.69365858,3.80167261,-0.182461419,0.855220629,0.999842552
Gm46170,1.293034506,-0.693648429,1.779821976,-0.389729107,0.696736871,NA
Ube2w,1458.308192,-0.693455756,0.81491961,-0.850949895,0.394797187,0.999842552
Dydc2,6.337266962,-0.693406079,2.114528223,-0.327924722,0.742968581,0.999842552
Zbtb8a,304.0582435,-0.693399362,0.669968237,-1.034973487,0.300681293,0.999842552
AA414768,647.6769226,-0.693395484,0.288742562,-2.401431499,0.016331066,0.966528013
Trmt2a,58.06659514,-0.693298851,2.175955865,-0.318618067,NA,NA
Mroh3,35.55941168,-0.693282403,0.605844191,-1.144324586,0.252489051,0.999842552
